iter	Passed	Remaining
0	171	171303
1	181	90384
2	188	62741
3	194	48546
4	202	40326
5	209	34772
6	218	31041
7	225	27987
8	232	25593
9	238	23565
10	244	21941
11	250	20627
12	257	19572
13	265	18674
14	270	17776
15	276	17027
16	282	16341
17	288	15725
18	295	15238
19	300	14728
20	306	14307
21	313	13919
22	318	13530
23	324	13209
24	330	12881
25	335	12585
26	342	12335
27	347	12067
28	353	11824
29	359	11623
30	364	11407
31	370	11207
32	376	11027
33	381	10850
34	387	10688
35	393	10534
36	399	10409
37	408	10330
38	414	10215
39	420	10089
40	426	9964
41	432	9871
42	438	9758
43	444	9655
44	451	9576
45	456	9475
46	462	9383
47	468	9299
48	474	9215
49	481	9147
50	487	9080
51	495	9026
52	501	8958
53	507	8895
54	513	8824
55	520	8771
56	528	8743
57	536	8713
58	543	8669
59	552	8650
60	559	8608
61	565	8556
62	571	8500
63	578	8453
64	584	8402
65	590	8354
66	596	8312
67	603	8265
68	610	8236
69	618	8214
70	624	8174
71	632	8149
72	640	8129
73	649	8125
74	656	8096
75	662	8059
76	669	8020
77	675	7988
78	683	7964
79	689	7929
80	695	7895
81	701	7855
82	708	7830
83	714	7793
84	720	7754
85	727	7730
86	733	7695
87	739	7667
88	746	7636
89	751	7601
90	759	7584
91	765	7555
92	772	7532
93	778	7503
94	784	7470
95	790	7448
96	798	7430
97	804	7408
98	810	7380
99	816	7350
100	822	7323
101	828	7294
102	834	7267
103	840	7240
104	846	7213
105	852	7188
106	858	7166
107	864	7143
108	871	7121
109	877	7096
110	882	7070
111	888	7046
112	894	7022
113	900	6999
114	906	6975
115	912	6952
116	918	6928
117	924	6906
118	929	6884
119	936	6866
120	942	6846
121	948	6826
122	954	6805
123	960	6785
124	966	6765
125	972	6744
126	978	6723
127	984	6704
128	990	6685
129	996	6667
130	1002	6647
131	1008	6629
132	1014	6614
133	1020	6594
134	1026	6576
135	1032	6558
136	1038	6540
137	1044	6523
138	1050	6505
139	1056	6490
140	1062	6474
141	1068	6457
142	1074	6441
143	1080	6421
144	1086	6404
145	1092	6388
146	1098	6373
147	1104	6356
148	1110	6341
149	1116	6325
150	1121	6308
151	1127	6292
152	1133	6276
153	1139	6258
154	1145	6246
155	1152	6236
156	1159	6225
157	1166	6213
158	1172	6201
159	1179	6194
160	1187	6190
161	1194	6181
162	1202	6177
163	1210	6168
164	1217	6159
165	1223	6147
166	1229	6132
167	1235	6117
168	1240	6101
169	1246	6087
170	1252	6072
171	1258	6056
172	1263	6042
173	1269	6028
174	1276	6015
175	1282	6002
176	1287	5987
177	1293	5973
178	1299	5959
179	1305	5945
180	1311	5932
181	1317	5920
182	1323	5909
183	1329	5896
184	1335	5885
185	1341	5872
186	1347	5859
187	1353	5847
188	1360	5836
189	1366	5825
190	1372	5812
191	1378	5799
192	1384	5787
193	1390	5776
194	1396	5764
195	1402	5751
196	1407	5737
197	1413	5725
198	1419	5713
199	1425	5702
200	1431	5690
201	1437	5680
202	1444	5669
203	1450	5659
204	1456	5647
205	1462	5635
206	1467	5622
207	1473	5611
208	1479	5600
209	1485	5589
210	1492	5580
211	1498	5570
212	1504	5557
213	1510	5547
214	1516	5536
215	1522	5525
216	1528	5515
217	1534	5504
218	1540	5493
219	1546	5481
220	1552	5471
221	1558	5460
222	1563	5448
223	1570	5439
224	1575	5427
225	1581	5416
226	1587	5406
227	1593	5393
228	1599	5384
229	1605	5373
230	1610	5362
231	1616	5351
232	1622	5341
233	1628	5331
234	1634	5320
235	1639	5309
236	1645	5298
237	1651	5287
238	1657	5276
239	1663	5266
240	1668	5256
241	1675	5246
242	1680	5235
243	1686	5225
244	1692	5214
245	1698	5204
246	1704	5195
247	1710	5187
248	1716	5178
249	1722	5168
250	1728	5158
251	1734	5149
252	1740	5139
253	1746	5129
254	1752	5121
255	1758	5111
256	1764	5102
257	1770	5093
258	1776	5083
259	1783	5074
260	1789	5066
261	1795	5056
262	1800	5046
263	1806	5037
264	1812	5027
265	1818	5017
266	1824	5008
267	1830	4999
268	1836	4989
269	1841	4979
270	1846	4968
271	1852	4958
272	1858	4948
273	1863	4937
274	1868	4927
275	1874	4916
276	1879	4905
277	1884	4895
278	1890	4885
279	1895	4874
280	1901	4864
281	1906	4855
282	1912	4844
283	1917	4834
284	1922	4824
285	1928	4813
286	1933	4803
287	1938	4793
288	1944	4783
289	1950	4774
290	1955	4763
291	1960	4754
292	1967	4746
293	1972	4736
294	1977	4726
295	1983	4716
296	1988	4706
297	1994	4697
298	1999	4687
299	2005	4678
300	2010	4669
301	2016	4659
302	2021	4650
303	2027	4640
304	2032	4631
305	2038	4623
306	2043	4613
307	2049	4604
308	2054	4594
309	2059	4585
310	2065	4575
311	2070	4566
312	2076	4556
313	2081	4547
314	2087	4540
315	2094	4533
316	2100	4526
317	2107	4520
318	2114	4513
319	2120	4506
320	2126	4498
321	2132	4490
322	2138	4482
323	2144	4474
324	2150	4465
325	2156	4457
326	2162	4449
327	2167	4441
328	2173	4433
329	2180	4426
330	2186	4418
331	2191	4409
332	2197	4400
333	2203	4392
334	2209	4385
335	2215	4378
336	2221	4371
337	2227	4363
338	2233	4355
339	2240	4348
340	2247	4342
341	2252	4333
342	2258	4325
343	2264	4317
344	2270	4309
345	2275	4300
346	2280	4292
347	2286	4283
348	2291	4274
349	2297	4266
350	2302	4257
351	2307	4248
352	2313	4240
353	2319	4231
354	2324	4223
355	2330	4215
356	2335	4206
357	2341	4198
358	2346	4189
359	2351	4181
360	2357	4172
361	2363	4166
362	2369	4157
363	2374	4149
364	2380	4141
365	2385	4132
366	2391	4124
367	2397	4116
368	2403	4109
369	2408	4101
370	2414	4093
371	2419	4085
372	2426	4078
373	2431	4069
374	2436	4061
375	2442	4053
376	2447	4044
377	2453	4037
378	2459	4030
379	2465	4023
380	2471	4015
381	2477	4007
382	2482	3999
383	2488	3991
384	2493	3983
385	2499	3976
386	2505	3968
387	2510	3960
